SUMMARY OF ALL EPFL LABS (AS PER 13.01.2013),,,,,,,
,,,,,,,
key:,,,,,,,
,Labs,,,,,,
,Labs with interinstitutional link,,link indicated where possible,,,,
,,,,,,,
,,,,,,,
ABBREV,FULL NAME,,PI,"INTER
INSTITUTIONAL LINK",,,
,,,,,,,
SCHOOL OF BASIC SCIENCES,,,,,,,
,,,,,,,
LHTC,Hemodynamics and Cardiovascular Technology Laboratory,,Stergiopulos Nikolaos,linked to which school/institution?,,,
TNE,Translational Neural Engineering Laboratory,,Micera Silvestro,linked to which school/institution?,,,
,,,,,,,
IEL,Institute of Electrical Engineering,,De Micheli Giovanni,,,,
DESL,Distributed Electrical Systems Laboratory - EOS Holding Chair,,Paolone Mario,,,,
ESL,Embedded Systems Laboratory,,Atienza Alonso David,,,,
LANES,Laboratory of Nanoscale Electronics and Structures,,Kis Andras,,,,
LEI,Industrial Electronics Laboratory,,Rufer Alfred,,,,
LEMA,Electromagnetics and Acoustics Laboratory,,Mosig Juan Ramon,,,,
LIDIAP,L'IDIAP Laboratory,,Bourlard Hervé,,,,
LIONS,Laboratory for Information and Inference Systems,,Cevher Volkan,,,,
LPQM2,Laboratory of Photonics and Quantum Measurements (STI/SB),,Kippenberg Tobias,,,,
LSI2,Integrated Systems Laboratory (STI/IC),,De Micheli Giovanni,,,,
LSM,Microelectronic Systems Laboratory,,Leblebici Yusuf,,,,
LTS2,Signal Processing Laboratory 2,,Vandergheynst Pierre,,,,
LTS4,Signal Processing Laboratory 4,,Frossard Pascal,,,,
LTS5,Signal Processing Laboratory 5,,Thiran Jean-Philippe,,,,
NANOLAB,Nanoelectronic Devices Laboratory,,Ionescu Mihai Adrian,,,,
PHOSL,Photonic Systems Laboratory,,Brès Camille Sophie,,,,
TCL,Telecommunications Circuits Laboratory,,Burg Andreas Peter,,,,
,,,,,,,
IGM,Institute of Mechanical Engineering,,Curtin William,,,,
LA1,Automatic Control Laboratory 1,,Bonvin Dominique,,,,
LA2,Automatic Control Laboratory 2,,Longchamp Roland,,,,
LA3,Automatic Control Laboratory 3,,Jones Colin,,,,
LAMD,Laboratory for Applied Mechanical Design,,Schiffmann Jürg Alexander,,,,
LAMMM,Laboratory for Multiscale Mechanics Modeling,,Curtin William,,,,
LCSM,Mechnical Systems Design Laboratory,,Giovanola Jacques,,,,
LENI,Industrial Energy Systems Laboratory,,Favrat Daniel,,,,
LFMI,Laboratory of Fluid Mechanics and Instabilities,,Gallaire François,,,,
LGPP,Laboratory for Production Management and Processes,,Glardon Rémy,,,,
LICP,Laboratory for Computer-aided Design and Production,,Xirouchakis Paul,,,,
LMAF,Laboratory of Applied Mechanics and Reliability Analysis,,Botsis Ioannis,,,,
LMH,Hydraulic Machines Laboratory,,Avellan François,,,,
LOMI,Laboratory of Wave Mechanics and Multi-field Interactions,,Spadoni Alessandro,,,,
LTCM,Heat and Mass Transfer Laboratory,,Thome John Richard,,,,
RRL,Reconfigurable Robotics Lab,,Paik Jamie,,,,
UPHAUSSENER,Prof. Haussener Group,,Haussener Sophia,,,,
,,,,,,,
IMT,Institute of Microengineering,,Enz Christian,,,,
LAPD,Laboratory of Applied Photonics Devices,,Moser Christophe,,,,
LASA,Learning algorithms and systems Laboratory,,Billard Aude,,,,
LIB,Biomedical Imaging Laboratory,,Unser Michaël,,,,
LIS,Laboratory of Intelligent Systems,,Floreano Dario,,,,
LMIS1,Microsystems Laboratory 1,,Brugger Jürgen,,,,
LMIS2,Microsystems Laboratory 2,,Gijs Martinus,,,,
LMIS4,Microsystems Laboratory 4,,Renaud Philippe,linked to which school/institution?,,,
LO,Optics Laboratory,,Psaltis Demetri,linked to which school/institution?,,,
LOB,Laboratoire d'optique biomédicale,,Lasser Theo,,,,
LPM1,Laboratory of Microengineering for Manufacturing 1,,Jacot Jacques,,,,
LPM2,Laboratory of Microengineering for Manufacturing 2,,Ryser Peter,,,,
LPMAT,Laboratory for Photonic Materials and Characterization,,Bona Gian-Luca,,,,
LSBI,Foundation Bertarelli Chair in Neuroprosthetic Technology,,Lacour Stéphanie,linked to which school/institution?,,,
LSRO1,Robotic Systems Laboratory 1,,Bleuler Hannes,,,,
LSRO2,Robotic Systems Laboratory 2,,Clavel Reymond,,,,
NAM,Nanophotonics and Metrology Laboratory,,Martin Olivier,,,,
ESPLAB,Electronics and Signal Processing Laboratory,,Farine Pierre-André,,,,
INSTANT-LAB,Patek Philippe Chair in Micromechanical and Horological Design,,Henein Simon,,,,
LAI,Integrated Actuators Laboratory,,Perriard Yves,,,,
LMTS,Microsystems for Space Technologies Laboratory,,Shea Herbert,,,,
OPT,Optics and Photonics Technology Laboratory,,Herzig Hans Peter,,,,
PV-LAB,Photovoltaics and Thin Film Electronics Laboratory,,Ballif Christophe,,,,
SAMLAB,"Sensors, Actuators and Microsystems Laboratory",,de Rooij Nico,,,,
UPENZ,Prof. Enz Group,,Enz Christian,,,,
,,,,,,,
IMX,Institute of Materials,,Klok Harm-Anton,,,,
LC,Ceramics Laboratory,,Setter Nava,,,,
LMC,Construction Materials Laboratory,,Scrivener Karen,,,,
LMM,Mechanical Metallurgy Laboratory,,Mortensen Andreas,,,,
LMOM,Laboratory of Macromolecular and Organic Materials,,Frauenrath Holger,,,,
LMSC,Laboratory of Semiconductor Materials,,Fontcuberta i Morral Anna,,,,
LP,Polymers Laboratory,,Klok Harm-Anton,,,,
LSMX,Computational Materials Laboratory,,Rappaz Michel,,,,
LTC,Laboratory of Composite and Polymer Technology,,Månson Jan-Anders,,,,
LTP,Powder Technology Laboratory,,Hofmann Heinrich,,,,
SUNMIL,Supramolecular Nanomaterials and Interfaces Laboratory - Constellium Chair,,Stellacci Francesco,,,,
THEOS,Laboratory of theory and simulation of materials,,Marzari Nicola,,,,
UPSWYGENHOV,Prof. Van Swygenhoven Group,,Van Swygenhoven Helena,,,,
,,,,,,,
,,,,,,,
"SCHOOL OF ARCHITECTURE, CIVIL AND ENVIRONMENTAL ENGINEERING",,,,,,,
,,,,,,,
IA,Institute of Architecture,,Ortelli Luca,,,,
ACM,Archives of Modern Building,,Frey Pierre,,,,
ALICE,Design Studio on the Conception of Space,,Dietz Dieter,,,,
LABA,EPFL Laboratory Basel,,Gugger Harry,,,,
LAMU,Laboratory of Architecture and Urban Mobility,,Lamunière Inès,,,,
LAST,Laboratory of Architecture and Sustainable Technologies,,Rey Emmanuel,,,,
LAURE,Laboratory of urban architecture,,Bassi Andrea,,,,
LCC,Construction and Conservation Laboratory,,Ortelli Luca,,,,
LDM2,Media and Design Laboratory (ENAC/IC),,Huang Jeffrey,,,,
LIPID,Interdisciplinary Laboratory of Performance-Integrated Design,,Andersen Marilyne,,,,
LIV,Informatics and Visualization Laboratory,,Abou Jaoudé Georges,,,,
LTH1,Theory and History of Architecture Laboratory 1,,Lucan Jacques,,,,
LTH2,Theory and History of Architecture Laboratory 2,,Marchand Bruno,,,,
LTH3,Theory and History of Architecture Laboratory 3,,Gargiani Roberto,,,,
TSAM,Laboratory of Techniques and Preservation of Modern Architecture,,Graf Franz,,,,
,,,,,,,
IIC,Civil Engineering Institute,,Brühwiler Eugen,,,,
CCLAB,Composite Construction Laboratory,,Keller Thomas,,,,
EESD,Earthquake Engineering and Structural Dynamics Laboratory,,Beyer Katrin,,,,
IBETON,Structural Concrete Laboratory,,Muttoni Aurelio,,,,
IBOIS,Chair of Timber Construction,,Weinand Yves,,,,
ICOM,Steel Structures Laboratory,,Lebet Jean-Paul,,,,
IMAC,Applied Computing and Mechanics Laboratory,,Smith Ian,,,,
LAVOC,Traffic Facilities Laboratory,,Dumont André-Gilles,,,,
